Agency Department,State,Talent Size,Estimated Layoff
Department of the Treasury,Kentucky,32450,2200
Department of Transportation,Florida,28970,2110
Social Security Administration,Florida,26940,2090
Department of Agriculture,Texas,47560,2070
Department of Homeland Security,Maryland,46700,2070
Department of Health and Human Services,Arizona,45120,2060
Department of the Navy,Rhode Island,46030,2050
Department of Veterans Affairs,New Jersey,45010,2030
Department of the Navy,Indiana,44820,2010
Department of Defense,Indiana,41540,1980
Department of Defense,Alabama,43470,1950
Department of the Army,Missouri,47540,1900
Department of Defense,Washington,44250,1890
Department of Veterans Affairs,Utah,39490,1860
Department of Veterans Affairs,Connecticut,39200,1850
Social Security Administration,Illinois,25960,1840
Department of the Army,Mississippi,41830,1830
Department of the Navy,South Carolina,41590,1820
Department of the Army,Kansas,43980,1780
Department of the Army,Oklahoma,47630,1780
Department of the Navy,Georgia,41040,1760
Department of the Army,Florida,44430,1750
Department of the Treasury,Florida,25370,1720
Department of Agriculture,Colorado,40690,1700
Department of the Interior,Virginia,43460,1680
Department of Defense,Florida,39250,1670
Department of Veterans Affairs,New Mexico,36350,1650
Department of Transportation,Oklahoma,34250,1560
Department of Veterans Affairs,Nebraska,33530,1540
Department of Health and Human Services,New Mexico,33480,1530
Department of the Treasury,West Virginia,32430,1520
Department of the Interior,Arizona,38772,1500
National Aeronautics and Space Administration,Texas,31450,1490
Department of Defense,Hawaii,32300,1450
Department of Justice,Texas,31830,1450
Department of Veterans Affairs,South Dakota,31660,1420
National Aeronautics and Space Administration,Maryland,29800,1420
Department of Agriculture,Virginia,35560,1390
Department of the Air Force,Massachusetts,33090,1390
Department of the Air Force,Illinois,34300,1380
Department of Agriculture,Maryland,36640,1320
Department of Homeland Security,California,30720,1320
Department of Defense,Colorado,30640,1300
Department of the Army,Arizona,33970,1290
Department of Agriculture,Washington,30150,1280
Department of Agriculture,New Mexico,28710,1260
Department of the Interior,New Mexico,34580,1260
Department of Agriculture,Missouri,30840,1250
Department of Justice,Virginia,28330,1250
Social Security Administration,Alabama,25450,1250
Department of Homeland Security,Florida,28400,1240
Department of Transportation,Georgia,26660,1230
Department of Defense,New York,26990,1190
Department of Agriculture,Georgia,29180,1180
Department of the Air Force,New Mexico,35230,1170
Social Security Administration,Missouri,24010,1170
Department of Veterans Affairs,Idaho,25510,1150
Department of Defense,Oklahoma,25930,1130
Department of the Army,Tennessee,29020,1130
Department of Veterans Affairs,Maine,25070,1110
Department of the Army,South Carolina,30450,1100
Department of the Interior,Oregon,27242,1100
Department of Justice,California,23910,1090
Department of the Navy,New Jersey,25730,1090
National Aeronautics and Space Administration,Alabama,23130,1090
Department of Homeland Security,Georgia,25190,1080
Department of Energy,Washington,22760,1060
Department of the Army,Louisiana,30540,1050
Department of Veterans Affairs,Rhode Island,23570,1040
Department of Transportation,New York,23930,1030
Department of Transportation,Washington,21930,1020
Department of the Interior,Washington,27500,1020
National Aeronautics and Space Administration,Florida,22320,1010
Department of Agriculture,Arizona,23920,1000
Department of Veterans Affairs,Hawaii,22070,1000
Department of the Army,Hawaii,29530,980
National Aeronautics and Space Administration,Virginia,21480,970
Department of Transportation,Virginia,23070,960
Department of the Air Force,Arizona,27720,960
Department of the Navy,Mississippi,25880,960
Department of the Treasury,Massachusetts,19670,950
Department of the Army,Oregon,22230,930
Department of the Air Force,Nebraska,23880,910
Department of the Interior,Alaska,24430,910
Department of Veterans Affairs,Wyoming,20180,890
Department of Agriculture,Iowa,20320,880
Department of Agriculture,Louisiana,21700,880
Small Business Administration,Texas,17610,870
Department of Commerce,California,20548,860
Department of Commerce,Florida,19320,850
Department of Health and Human Services,California,23430,850
Department of Transportation,Illinois,18840,840
Nuclear Regulatory Commission,Maryland,18270,840
Department of Transportation,New Jersey,18010,830
Department of Agriculture,North Carolina,22480,820
Department of Veterans Affairs,Montana,19620,820
Department of the Army,Massachusetts,21990,820
Department of the Interior,Wyoming,21720,820
Department of the Interior,Idaho,22900,810
Department of Agriculture,Utah,20410,800
Department of the Interior,Utah,22272,800
Social Security Administration,Georgia,16330,800
Department of the Air Force,Alaska,22750,790
Department of the Army,Arkansas,22160,790
Department of the Army,New Mexico,22400,780
Department of the Interior,Nevada,21570,780
National Aeronautics and Space Administration,California,18090,780
Department of Agriculture,Florida,20480,770
Department of Labor,Virginia,18810,770
Department of the Air Force,Alabama,21460,770
Department of the Air Force,Maryland,24030,770
Department of the Army,Colorado,23850,770
Department of the Army,Indiana,20410,760
Department of the Interior,Montana,22430,760
Department of the Treasury,Ohio,16200,760
Department of Health and Human Services,Oklahoma,17700,750
Department of Justice,Pennsylvania,15910,750
Department of Agriculture,Wisconsin,18050,740
Department of the Air Force,Mississippi,20380,720
Department of Agriculture,Minnesota,19020,710
Department of Defense,Kentucky,17260,710
Department of Justice,Florida,15850,700
Environmental Protection Agency,North Carolina,14950,700
National Aeronautics and Space Administration,Ohio,15460,700
Department of Commerce,Colorado,17300,690
Department of Commerce,Texas,16390,690
Department of Veterans Affairs,Delaware,15910,690
Department of Homeland Security,New York,16380,670
Social Security Administration,Ohio,13390,670
Department of Agriculture,Tennessee,16680,660
Department of Agriculture,Arkansas,16970,650
Department of Transportation,Colorado,14750,650
Department of Veterans Affairs,North Dakota,15740,650
National Science Foundation,Virginia,14060,650
Department of Defense,Michigan,15030,640
Department of Health and Human Services,South Dakota,13590,640
Social Security Administration,Michigan,12400,640
Social Security Administration,North Carolina,13190,640
Department of Agriculture,Illinois,17680,630
Department of Defense,South Carolina,15890,630
Department of the Army,Ohio,16490,630
Department of Defense,Arizona,14600,620
Department of Veterans Affairs,New Hampshire,14920,620
Department of the Army,Utah,19430,620
Department of Health and Human Services,Virginia,18100,610
Department of Agriculture,Kansas,16500,600
Department of Agriculture,Michigan,14260,600
Department of Defense,Tennessee,14470,600
Department of Energy,Oregon,14170,600
Department of the Army,Wisconsin,17920,600
Department of Agriculture,Pennsylvania,15820,590
Department of the Army,Alaska,19610,590
Department of Agriculture,Mississippi,15760,580
Department of Agriculture,Nebraska,13920,580
Department of Defense,Illinois,14810,580
Department of the Air Force,Nevada,15990,580
Department of the Air Force,New York,17530,580
Department of the Army,Minnesota,15950,580
Department of the Navy,Tennessee,14300,560
Department of the Treasury,Virginia,14320,560
General Services Administration,Texas,13650,560
Social Security Administration,Washington,11480,560
Department of Health and Human Services,Texas,16440,550
Department of Veterans Affairs,Vermont,13370,550
Department of the Air Force,South Carolina,18540,550
Department of Defense,Missouri,13700,540
Department of Energy,Maryland,12440,540
Department of Health and Human Services,Florida,15630,540
Department of Transportation,Ohio,11800,540
Department of the Army,West Virginia,14592,540
Department of Defense,Utah,13320,530
Department of Transportation,Alaska,11490,530
Department of the Army,Nebraska,14190,530
Department of Commerce,Washington,12350,520
Department of the Interior,Florida,15450,520
Department of Homeland Security,North Carolina,13050,510
Environmental Protection Agency,Illinois,10770,510
Department of Commerce,Indiana,11410,500
Department of Health and Human Services,New York,13280,500
Department of Justice,West Virginia,10270,500
Department of the Air Force,New Jersey,17140,500
General Services Administration,Virginia,11930,500
Social Security Administration,Massachusetts,9830,500
Department of Health and Human Services,North Carolina,14300,490
Department of Agriculture,Ohio,12180,480
Department of the Interior,Texas,14630,480
Department of Commerce,New York,10550,470
Department of Defense,Kansas,11960,470
Department of Health and Human Services,Pennsylvania,13360,470
Department of Homeland Security,Missouri,11870,470
Department of the Treasury,Michigan,10200,470
General Services Administration,Maryland,11930,470
Social Security Administration,Tennessee,9270,460
Department of Agriculture,Wyoming,11350,450
Department of Housing and Urban Development,Louisiana,10250,450
Department of the Air Force,Louisiana,14540,450
Department of Health and Human Services,Montana,11550,440
Department of Labor,Texas,11210,440
Department of Transportation,Tennessee,10200,440
Environmental Protection Agency,Georgia,9970,440
Department of Agriculture,Kentucky,11870,430
General Services Administration,California,10160,430
Department of Agriculture,New York,11230,420
Department of the Army,Iowa,12580,420
Department of the Interior,South Dakota,12170,420
Department of the Treasury,Colorado,10730,420
Environmental Protection Agency,California,9340,420
Department of Justice,Illinois,10420,410
Department of Labor,Louisiana,9440,410
Department of Transportation,Indiana,9010,410
Department of Transportation,Minnesota,9540,410
National Archives and Records Administration,Maryland,9510,410
Department of Agriculture,South Dakota,10810,400
Department of Homeland Security,Colorado,9990,400
Department of Justice,Kentucky,9400,400
General Services Administration,Louisiana,9180,400
National Archives and Records Administration,Missouri,8370,400
Office of Personnel Management,Pennsylvania,8110,400
Social Security Administration,New Jersey,8400,400
Department of Agriculture,Alabama,10700,390
Department of Agriculture,South Carolina,10760,390
Department of Energy,Colorado,9290,390
Department of Energy,New Mexico,8900,390
Department of Veterans Affairs,Alaska,9440,390
Department of the Interior,Pennsylvania,11180,380
Department of the Navy,Texas,15130,380
Small Business Administration,California,7910,380
Department of Education,Maryland,9310,370
Department of Homeland Security,Illinois,9650,370
Department of Transportation,Massachusetts,10160,370
Department of the Treasury,Illinois,9150,370
Environmental Protection Agency,Texas,8400,370
Department of Commerce,North Carolina,8960,360
Department of Commerce,Pennsylvania,8470,360
Department of Homeland Security,Pennsylvania,9310,360
Department of Homeland Security,Vermont,7620,360
Department of Transportation,Pennsylvania,8880,360
Department of Agriculture,Alaska,9560,350
Department of Justice,New York,9080,350
Department of Labor,Maryland,10000,350
Department of the Air Force,Washington,12490,350
Department of the Interior,New York,10370,350
Department of the Navy,Connecticut,11070,350
Social Security Administration,Kentucky,7240,350
Department of Defense,Maine,8660,340
Department of Health and Human Services,Ohio,9500,340
Department of Labor,California,9060,340
Department of the Interior,Massachusetts,10800,340
Environmental Protection Agency,Pennsylvania,7530,340
General Services Administration,Georgia,8730,340
Social Security Administration,Indiana,6950,340
Social Security Administration,New Mexico,7220,340
Social Security Administration,Virginia,7190,340
Department of Agriculture,Hawaii,8640,330
Department of Agriculture,Oklahoma,9220,330
Department of Commerce,Illinois,7650,330
Department of Homeland Security,New Jersey,9210,330
Department of Homeland Security,Washington,9620,330
Department of the Air Force,North Carolina,11970,330
Department of Commerce,Massachusetts,8246,320
Department of Health and Human Services,Washington,9690,320
Department of Transportation,Kansas,7470,320
Department of the Air Force,Tennessee,9370,320
Department of the Interior,Georgia,10240,320
Federal Deposit Insurance Corporation,Texas,6780,320
General Services Administration,Pennsylvania,7710,320
Department of Health and Human Services,Colorado,9630,310
Department of Transportation,Michigan,7440,310
Department of Transportation,Missouri,7820,310
General Services Administration,Missouri,6640,310
Social Security Administration,Arizona,6350,310
Department of Agriculture,Indiana,9170,300
Department of Health and Human Services,Illinois,8450,300
Department of Labor,Pennsylvania,8070,300
Department of State,South Carolina,6370,300
Department of the Air Force,Hawaii,11340,300
Department of the Interior,Oklahoma,10050,300
Environmental Protection Agency,Colorado,7130,300
General Services Administration,Illinois,7020,300
Securities and Exchange Commission,New York,5790,300
Social Security Administration,Colorado,6280,300
Social Security Administration,Louisiana,6070,300
Department of Homeland Security,Louisiana,8750,290
Department of Housing and Urban Development,Texas,8600,290
Department of Justice,North Carolina,8450,290
Department of Labor,Illinois,7590,290
Department of Transportation,Arizona,6490,290
Department of Transportation,New Hampshire,6840,290
Department of the Navy,Illinois,10400,290
General Services Administration,New York,7370,290
Social Security Administration,South Carolina,6040,290
Department of Commerce,Georgia,6970,280
Department of Commerce,Michigan,7050,280
Department of Health and Human Services,Minnesota,8230,280
Department of Justice,Georgia,7870,280
Department of Transportation,Maryland,8730,280
Department of the Interior,Louisiana,8740,280
Environmental Protection Agency,Massachusetts,6450,280
Environmental Protection Agency,New York,6830,280
Department of Housing and Urban Development,California,7560,270
Department of Justice,Colorado,8300,270
Department of Transportation,North Carolina,6710,270
Department of the Air Force,North Dakota,10150,270
Small Business Administration,Florida,5530,270
Small Business Administration,Georgia,5390,270
Department of Homeland Security,Massachusetts,9470,260
Department of Transportation,Utah,6050,260
Department of the Air Force,Missouri,9640,260
Department of the Interior,Maryland,11100,260
Department of the Treasury,North Carolina,6580,260
Department of the Treasury,Washington,6780,260
Environmental Protection Agency,Washington,5780,260
Social Security Administration,Mississippi,5370,260
Social Security Administration,Wisconsin,5410,260
Department of Agriculture,North Dakota,8070,250
Department of Agriculture,West Virginia,7960,250
Department of Commerce,Ohio,5770,250
Department of Defense,Massachusetts,7230,250
Department of the Air Force,Kansas,8560,250
Department of the Interior,Missouri,7600,250
Department of the Interior,North Dakota,7640,250
Department of the Treasury,New Jersey,6100,250
Department of Housing and Urban Development,Georgia,6330,240
Department of Justice,Minnesota,6750,240
Department of Labor,Florida,6270,240
Department of Transportation,New Mexico,5480,240
Department of the Navy,Louisiana,7900,240
Environmental Protection Agency,Ohio,5860,240
Department of Commerce,New Jersey,5660,230
Department of Defense,Louisiana,7030,230
Department of Defense,New Jersey,6790,230
Department of Health and Human Services,Massachusetts,8020,230
Department of Homeland Security,West Virginia,5660,230
Department of Housing and Urban Development,New York,5840,230
Department of the Air Force,Delaware,9300,230
Environmental Protection Agency,Kansas,5720,230
Environmental Protection Agency,Maryland,5510,230
Department of Commerce,Missouri,5730,220
Department of Defense,Alaska,7050,220
Department of Justice,New Jersey,6260,220
Department of State,New Hampshire,4720,220
Department of the Interior,Michigan,7370,220
Department of the Interior,North Carolina,8080,220
Railroad Retirement Board,Illinois,5040,220
Social Security Administration,Oklahoma,4690,220
Department of Commerce,Alaska,5120,210
Department of Commerce,Arizona,5030,210
Department of Energy,California,4970,210
Department of Energy,Pennsylvania,4840,210
Department of Energy,Tennessee,4940,210
Department of Justice,Louisiana,6010,210
Department of Labor,Georgia,6020,210
Department of the Interior,Wisconsin,7990,210
General Services Administration,Colorado,5360,210
Department of Agriculture,Nevada,6450,200
Department of Defense,Mississippi,5390,200
Department of Housing and Urban Development,Maryland,6280,200
Department of Labor,Ohio,4970,200
Department of the Air Force,Idaho,6700,200
Department of the Army,South Dakota,5650,200
Federal Deposit Insurance Corporation,California,3960,200
Department of Commerce,Oregon,4964,190
Department of Homeland Security,Alabama,6120,190
Department of Housing and Urban Development,Colorado,5680,190
Department of Justice,Maryland,6460,190
Department of Justice,South Carolina,6170,190
Department of Labor,New York,4820,190
Department of the Air Force,South Dakota,6480,190
Department of the Interior,Hawaii,6540,190
Department of the Treasury,Indiana,4500,190
General Services Administration,Florida,5410,190
National Aeronautics and Space Administration,Mississippi,4460,190
Social Security Administration,Arkansas,4220,190
Social Security Administration,Minnesota,4040,190
Department of Agriculture,New Jersey,6290,180
Department of Commerce,Oklahoma,3920,180
Department of Defense,Connecticut,4130,180
Department of Education,Virginia,5690,180
Department of Health and Human Services,Arkansas,4980,180
Department of Housing and Urban Development,Illinois,5180,180
Department of Housing and Urban Development,Missouri,4670,180
Department of the Air Force,Indiana,7660,180
Department of the Air Force,Michigan,5890,180
Department of the Air Force,Montana,7000,180
Department of the Air Force,Wyoming,7250,180
Department of the Army,Idaho,7060,180
Department of the Interior,Minnesota,7550,180
Department of the Interior,Ohio,5640,180
Department of the Treasury,Oregon,4100,180
Department of Homeland Security,Mississippi,4570,170
Department of Housing and Urban Development,Pennsylvania,4290,170
Department of Justice,Arizona,6310,170
Department of State,Virginia,4560,170
Department of the Interior,Tennessee,7780,170
Department of Commerce,Hawaii,4614,160
Department of Commerce,South Carolina,5192,160
Department of Labor,Colorado,4950,160
Department of Transportation,Hawaii,3910,160
Department of the Army,Connecticut,4820,160
General Services Administration,Washington,4430,160
Securities and Exchange Commission,California,3400,160
Social Security Administration,Oregon,3440,160
Department of Health and Human Services,Missouri,5350,150
Department of Transportation,Kentucky,3670,150
Department of Transportation,Nevada,3630,150
Department of the Air Force,Arkansas,8930,150
Environmental Protection Agency,Virginia,3390,150
Social Security Administration,West Virginia,3090,150
Consumer Product Safety Commission,Maryland,3680,140
Department of Commerce,Alabama,3270,140
Department of Energy,South Carolina,3450,140
Department of Energy,Virginia,3550,140
Department of Health and Human Services,Michigan,4320,140
Department of Health and Human Services,New Jersey,5030,140
Department of Homeland Security,Ohio,5110,140
Department of Justice,Ohio,4430,140
Department of Labor,Massachusetts,4110,140
Department of Transportation,Louisiana,3690,140
Department of the Army,New Hampshire,5370,140
Department of the Navy,Arizona,6000,140
Department of the Treasury,Alabama,3530,140
Federal Deposit Insurance Corporation,Illinois,2940,140
National Credit Union Administration,Virginia,3650,140
Small Business Administration,Virginia,3260,140
Smithsonian Institution,Maryland,3970,140
Social Security Administration,Connecticut,2890,140
Department of Commerce,Mississippi,3606,130
Department of Commerce,Wisconsin,3220,130
Department of Education,California,3450,130
Department of Energy,West Virginia,3160,130
Department of Health and Human Services,North Dakota,3950,130
Department of Health and Human Services,West Virginia,4600,130
Department of Homeland Security,Kansas,3690,130
Department of Housing and Urban Development,Florida,4230,130
Department of Justice,Alabama,4100,130
Department of Justice,Indiana,4750,130
Department of Justice,Mississippi,4320,130
Department of Justice,Missouri,5300,130
Department of Labor,Missouri,3410,130
Department of Labor,West Virginia,4120,130
Department of the Air Force,Pennsylvania,7510,130
Department of the Army,North Dakota,4720,130
Department of the Interior,New Jersey,4410,130
Securities and Exchange Commission,Illinois,2980,130
Small Business Administration,New York,3110,130
Department of Agriculture,Massachusetts,5250,120
Department of Commerce,Minnesota,2930,120
Department of Defense,New Mexico,5020,120
Department of Education,Missouri,3140,120
Department of Transportation,Oregon,3180,120
Department of Transportation,South Carolina,3460,120
Department of the Army,Montana,5280,120
Department of the Interior,Kansas,4600,120
Department of the Interior,West Virginia,5860,120
Social Security Administration,Iowa,2530,120
Social Security Administration,Nevada,2670,120
Department of Commerce,Louisiana,3030,110
Department of Commerce,Tennessee,2920,110
Department of Energy,Arizona,2960,110
Department of Homeland Security,Minnesota,3070,110
Department of Homeland Security,Nebraska,3160,110
Department of Housing and Urban Development,Virginia,3900,110
Department of Justice,Massachusetts,3820,110
Department of State,California,2370,110
Department of the Air Force,Minnesota,6020,110
Department of the Interior,Indiana,3810,110
Department of the Interior,Kentucky,3600,110
Department of the Treasury,Minnesota,3220,110
Environmental Protection Agency,Michigan,3240,110
Federal Deposit Insurance Corporation,Missouri,2670,110
Federal Deposit Insurance Corporation,New York,2670,110
General Services Administration,New Jersey,2980,110
Department of Agriculture,New Hampshire,4220,100
Department of Commerce,Iowa,2370,100
Department of Commerce,Kentucky,2400,100
Department of Defense,Nevada,3980,100
Department of Education,Georgia,3070,100
Department of Homeland Security,Arizona,3280,100
Department of Homeland Security,Nevada,2410,100
Department of Housing and Urban Development,Kansas,3030,100
Department of Justice,Arkansas,3110,100
Department of Labor,Kentucky,2580,100
Department of Labor,New Jersey,2530,100
Department of Transportation,Alabama,2960,100
Department of Transportation,Wisconsin,2560,100
Department of the Air Force,Oregon,3590,100
Department of the Interior,Illinois,4120,100
Department of the Interior,Mississippi,4090,100
Department of the Treasury,Arizona,2690,100
Federal Deposit Insurance Corporation,Georgia,2310,100
General Services Administration,Massachusetts,3600,100
Social Security Administration,Kansas,2340,100
Department of Commerce,Kansas,2120,90
Department of Education,Illinois,2520,90
Department of Education,New York,2170,90
Department of Education,Texas,3150,90
Department of Energy,Idaho,2700,90
Department of Health and Human Services,Tennessee,3960,90
Department of Homeland Security,Michigan,3210,90
Department of Homeland Security,South Carolina,3980,90
Department of Housing and Urban Development,Massachusetts,2750,90
Department of State,New York,2280,90
Department of the Interior,Maine,3590,90
Department of Agriculture,Vermont,3240,80
Department of Commerce,Utah,2060,80
Department of Education,Colorado,2470,80
Department of Education,Pennsylvania,2040,80
Department of Energy,Illinois,2350,80
Department of Energy,Texas,2400,80
Department of Labor,Washington,2540,80
Department of State,Texas,2230,80
Department of Transportation,Iowa,2380,80
Department of Transportation,Montana,2200,80
Department of the Air Force,West Virginia,2990,80
Department of the Interior,Arkansas,3300,80
Department of the Interior,Nebraska,3730,80
Department of the Navy,Missouri,2220,80
Environmental Protection Agency,New Jersey,2230,80
General Services Administration,Ohio,2070,80
Securities and Exchange Commission,Massachusetts,1900,80
Small Business Administration,Maryland,1850,80
Social Security Administration,Utah,1760,80
U.S. Agency for International Development,Virginia,1760,80
Department of Agriculture,Delaware,2790,70
Department of Agriculture,Maine,3080,70
Department of Commerce,Nevada,1900,70
Department of Energy,South Dakota,2060,70
Department of Health and Human Services,Oregon,3870,70
Department of Homeland Security,Tennessee,2530,70
Department of Justice,Michigan,2710,70
Department of Justice,Oklahoma,3200,70
Department of State,Arizona,1740,70
Department of State,Florida,2310,70
Department of State,Louisiana,1520,70
Department of Transportation,Arkansas,1930,70
Department of Transportation,Nebraska,1950,70
Department of Transportation,West Virginia,1910,70
Department of the Air Force,Wisconsin,3230,70
Department of the Army,Nevada,4400,70
Department of the Interior,South Carolina,2860,70
Department of the Treasury,Iowa,1960,70
Department of the Treasury,Louisiana,1780,70
Department of the Treasury,Mississippi,1900,70
Department of the Treasury,Oklahoma,1880,70
Federal Deposit Insurance Corporation,Massachusetts,1620,70
Office of Personnel Management,Georgia,1540,70
Office of Personnel Management,Virginia,1690,70
Securities and Exchange Commission,Maryland,1620,70
Securities and Exchange Commission,Pennsylvania,1610,70
Small Business Administration,Alabama,1640,70
Smithsonian Institution,Virginia,2130,70
Social Security Administration,Idaho,1400,70
Social Security Administration,Maine,1690,70
U.S. Agency for International Development,Maryland,1650,70
Department of Commerce,Arkansas,1440,60
Department of Commerce,Montana,1560,60
Department of Commerce,Nebraska,1380,60
Department of Defense,New Hampshire,1750,60
Department of Education,Florida,1850,60
Department of Health and Human Services,Kansas,3190,60
Department of Homeland Security,Hawaii,3490,60
Department of Homeland Security,New Mexico,2350,60
Department of Housing and Urban Development,Michigan,1870,60
Department of Housing and Urban Development,New Jersey,1770,60
Department of Housing and Urban Development,Washington,2150,60
Department of Justice,Kansas,3020,60
Department of Labor,Indiana,1640,60
Department of Transportation,Connecticut,1670,60
Department of Transportation,Idaho,1780,60
Department of Transportation,Maine,1750,60
Department of Transportation,Mississippi,1890,60
Department of Transportation,North Dakota,1660,60
Department of the Army,Maine,3010,60
Department of the Army,Rhode Island,2470,60
Department of the Treasury,Kansas,1860,60
Department of the Treasury,New Hampshire,1360,60
Equal Employment Opportunity Commission,Texas,1590,60
Farm Credit Administration,Virginia,1680,60
Federal Deposit Insurance Corporation,North Carolina,1350,60
Federal Housing Finance Agency,New York,1210,60
General Services Administration,North Carolina,2000,60
National Archives and Records Administration,Illinois,1400,60
Office of Inspector General,New York,1180,60
Office of Personnel Management,Maryland,1460,60
Securities and Exchange Commission,Colorado,1270,60
Securities and Exchange Commission,Texas,1260,60
Securities and Exchange Commission,Virginia,1550,60
Small Business Administration,Colorado,1630,60
Social Security Administration,Hawaii,1370,60
Social Security Administration,New Hampshire,1430,60
Social Security Administration,Rhode Island,1430,60
National Labor Relations Board,California,1165,51
Armed Forces Retirement Home,Mississippi,1370,50
Commodity Futures Trading Commission,Illinois,1100,50
Department of Commerce,Idaho,1380,50
Department of Commerce,New Mexico,1400,50
Department of Commerce,West Virginia,1600,50
Department of Defense,Arkansas,1860,50
Department of Defense,Rhode Island,2130,50
Department of Education,Kansas,1230,50
Department of Education,Louisiana,1260,50
Department of Energy,Nevada,1410,50
Department of Energy,Ohio,1840,50
Department of Health and Human Services,South Carolina,3010,50
Department of Homeland Security,Alaska,3220,50
Department of Housing and Urban Development,Ohio,1740,50
Department of Housing and Urban Development,Oklahoma,1540,50
Department of State,Washington,1190,50
Department of the Air Force,Iowa,2540,50
Department of the Army,Delaware,2540,50
Department of the Army,Vermont,2480,50
Department of the Navy,Oklahoma,1910,50
Department of the Treasury,Nevada,1500,50
Department of the Treasury,Wisconsin,1590,50
Equal Employment Opportunity Commission,California,1480,50
Federal Deposit Insurance Corporation,Virginia,1080,50
Federal Housing Finance Agency,California,1310,50
Federal Reserve System,California,1010,50
Federal Reserve System,New York,1000,50
General Services Administration,Arizona,1440,50
